Suggestions for improvement,cluster
"the design of the office is not beautiful.
the entry test for internship is quite difficult.",3
"Tăng lương thấp
Sếp không để ý member nhiều
Ít cây xanh",0
"Dự án Nhật chán
OT nhiều
Ít hoạt động vui chơi, trip",1
Nghe nói lương không được cao so với mặt bằng chung.,0
Nghe nói lương không được cao so với mặt bằng chung.,0
"Nhan vien lam viec theo mo hinh agile nen cong viec hau nhu la co lien tuc => co the OT nhung che do tra tien OT chua ro rang
- Trainning chua ro rang.",0
"- Tăng lương không đáng kể
- Tùy dự án, có thể OT nhiều",0
"Lương không cao, khó được lên chức. Quản lý không tốt, nhân sự không đồng thực sự quá giỏi",1
"Lương không được cao lắm, review 1-2 lần 1 năm nhưng thấy đánh giá vẫn chưa chính xác",1
"Lương không được cao lắm, review 1-2 lần 1 năm nhưng thấy đánh giá vẫn chưa chính xác",1
"- Tăng ca (không lương) quá nhiều vì lượng công việc lớn
- Lương thấp, tăng 1 năm một lần nhưng không đáng kể
- Nhiều sếp sống vì dự án, cấp dưới thế nào mặc kệ",0
Chất lượng training của họ không tốt lắm. Tài liệu thì OK. Nhưng khả năng truyền đạt của Senior cho Entry Junior thì không chất lắm. Còn tôi dám nói 1 câu ngông nghênh rằng. Cái tôi học được trong 2 năm. Thì chỉ trong vài buổi training như họ. Chắc chắn tôi sẽ làm hài lòng cái Entry Juniors.,0
Công ty nên có những rule sao cho mọi thành viên đi làm sớm và cố gắng kết thúc công việc sớm hơn.,1
"Đôi khi có những anh chị quản lý còn hơi cứng nhắc, chưa sâu sát với nhân viên để hiểu hơn tâm tư nguyện vọng, chia sẻ khó khăn trong công việc.",0
"Đôi khi có những anh chị quản lý còn hơi cứng nhắc, chưa sâu sát với nhân viên để hiểu hơn tâm tư nguyện vọng, chia sẻ khó khăn trong công việc.",0
"Không cần cải thiện gì hết, cái gì cũng tùy theo ông chủ. Chủ muốn sao thì làm vậy",0
"Cần đảm bảo giờ giấc làm việc để cân bằng cuộc sống
Cần tìm thêm nguồn dự án để tạo hứng thú cho nhân viên",1
"Salary is not really good as my expected, and has nothing for staff work overtime on night.
OT quá nhiều, 10-12h/ngày, mà lại khôngko được trả tiền OT vào buổi tối. OT vào cuối tuần mạc dù nói là x2, nhưng lại tính trên lương cơ bản ghi trong hợp đồng (khoảng 60-70% tổng lương), nên cũng khá là thấp. Nói chung là không đáng với công sức bỏ ra",0
"No big change to gain high salary. No ready to keep good employee which want to be recognized more challenges.
Should keep recognized employee.
Should not try to balance income between employee because it is not fare in meaning 20/80.",3
"- Work hard to understand new business of system
- Need to reduce misunderstanding in communication that affect directly to project
- Challenging job need good process to reduce mistake form communication such us using meeting note
- Divide clearly between work of BridgeSE and translator",3
"Need to improve the software development process, currently it's too old. Pay a higher salary, organise more training courses.",3
"Văn phòng hiện tại hơi nhỏ, do có nhiều bạn mới vào. Đang được nâng cấp",2
"Công ty nên đổi văn phòng, còn lại thì không có chê gì",2
"- công ty ít người nên nhiều process chưa rõ ràng
- quy trình training chưa ok lắm, người mới đa phần phải tự bơi khá nhiều",0
"- công ty ít người nên nhiều process chưa rõ ràng
- quy trình training chưa ok lắm, người mới đa phần phải tự bơi khá nhiều",0
"- công ty ít người nên nhiều process chưa rõ ràng
- quy trình training chưa ok lắm, người mới đa phần phải tự bơi khá nhiều",0
"Pressure, depend on headquarter for progress, so things go very slow",3
"Scrum process is not very clear, scrum ceremonies is not strictly followed",3
"From my pov, there are things need to be improved but currently I'm happy with all the things of company.",3
"Quản lý càng ngày càng tệ, dev nhiều năm kinh nghiệm không nên vào",0
Không có gì đáng chê trách tại thời điểm hiện tại.,1
"Không có team L&D chính thức nên không có sự đa dạng trong các khóa học/đào tạo
Các hoạt động truyền thông nội bộ còn ít, chưa thực sự hiệu quả
Tòa nhà cũ nên nhà vệ sinh xuống cấp",1
"- Văn phòng xa trung tâm
- Tòa nhà cũ nên nhà vệ sinh xuống cấp, cần cải thiện",2
"- Thêm nước Revive thay vì chỉ coca, bò húc thì tốt
- Wifi mạnh hơn",2
"Nhân viên tự lo phí gửi xe, 4-5k/xe, nếu công ty có thể hỗ trợ thì quá tốt.",2
"- Văn phòng xa trung tâm
- Không có trợ cấp giữ xe, với mình thì ok không vấn đề gì :)))
- Bãi giữ xe ngoài trời",2
Nên có những hoạt động nội bộ để nâng cao tính kết nối của anh em nhân viên trong công ty.,1
"Vì là tòa nhà nhà nước nên fee parking 5k, ko được support
Tòa nhà cũ nên toilet quá xuống cấp",2
"Chi phí gửi xe cho nhân viên
Happy hour
Thêm nhiều hoạt động team building",2
"Vị trí xa trung tâm, chỗ giữ xe không tốt, ít hoạt động giải trí",2
hỗ trợ thêm tiền gửi xe cho nhân viên. gửi xe quá cực,2
Công ty hơi xa trung tâm nhưng bù lại có chế độ WFH nên vẫn ok.,2
"Không có gì hết, mọi thứ đều ổn. Sẽ nói nếu có sau này",1
"Bạn phải tự chịu tiền gửi xe (4-5k/ngày)
Tòa nhà hơi cũ, nhà vệ sinh không sạch sẽ lắm
Công ty có 1 team java còn lại là .NET
Không có tủ đá, muốn uống đá lạnh thì phải tự đi mua",2
"Không có điều gì không thích, đặc biệt sếp rất quan tâm đến nhân viên và cho làm việc ở nhà trong mùa dịch Covid.",1
"Không có điều gì không thích, đặc biệt sếp rất quan tâm đến nhân viên và cho làm việc ở nhà trong mùa dịch Covid.",1
"Sau 1 năm làm việc thì chưa nghĩ ra có gì không thích, ở đâu cũng vậy thôi, chúng ta cần thích nghi. Ở T2P, mọi thứ dễ thích nghi hơn nhiều nên không có gì phản đối.",0
Công ty nên mua bảo hiểm sức khoẻ riêng cho anh em...,1
- Cần đánh giá năng lực quản lý hoặc training trước khi promote leader từ dev,1
"Văn phòng công ty khá cũ, ghế nhiều cái hư, tủ mất khóa, khá chật",2
"tuy ít OT nhưng lượng công việc trong 1 ngày rất nhiều, căn ke tỷ lệ effort rất chặt để tối ưu, 1 ngày có thể phải chia effort cho 2-3 dự án.
nặng về quy trình, tạo nhiều áp lực từ các phía",0
"Tăng phúc lợi, giảm bớt áp lực lúc thử việc, cải thiện văn phòng làm việc",1
"Tùy theo dự án có tính lương OT, có dự án thì không.",0
Nâng lên mức phúc lợi và tăng lương thưởng rõ ràng như xưa (hiện tại mọi thứ đều mơ hồ),2
Vì là nhân viên onsite 9 tháng cho cty nên không nắm rõ văn hóa/benefit nên thông cảm.,0
Mình nghĩ tuỳ vào tình hình kinh doanh mà công ty sẽ có những sắp xếp phù hợp. Nên tin tưởng vào cấp quản lý và làm tốt việc của mình là ok. Công ty ổn,1
Working time and location should be more flexible. Ask about optimizing working methods,3
"Có nhiều dự án đa dạng và mới hơn nữa, đào tạo thêm ngoại ngữ.",1
Hiện tại chưa có gì để góp ý thêm.,1
Nếu được trong thời gian tới có thêm các dòng dự án ở các thị trường khác.,0
Đa dạng các dòng dự án và khách hàng đến từ các nước khác,0
"Hiện tại chưa có gì để góp ý thêm, hi vọng được đào tạo nhiều kĩ năng ngoại ngữ hơn",1
"Có thêm nhiều benefit phụ như bữa ăn xế, hoạt động team building hàng quý",2
"chắc k có thể thay đổi được gì cả đâu nên k cần thay đổi
Cần thì tuyển đến lúc không cần thì tìm cách kích, kêu dự án k có r cho nghỉ 2 tháng chờ việc rồi tính kích, xong vẫn tuyển dụng bt.",0
"Thang máy tòa nhà khá đông đúc, nên những giờ cao điểm hay xảy ra ùn tắc",2
Cập nhật công nghệ mới và cải thiện tầng hầm bỏ xe,2
Vì là công ty mới set up nên quy trình nhiều lúc còn chưa rõ ràng. Nhưng cái này chắc là sẽ được cải thiện thôi,1
"Vẫn còn có những cuộc họp không cần thiết, họp hơi nhiều",2
"Chưa có career path rõ ràng
Đôi lúc họp hành hơi nhiêu",2
"Phỏng vấn quá khó nên giảm độ khó lại, Sv mới ra trường mà hỏi ant, maven.",1
"- Công ty nên giảm số người BO, HR, asset, ... lại, nên dùng tiền đó để tăng lương cho dev thì tốt hơn.
- Hầu hết cấp cao là người bắc nên khó quen với ai là miền nam.
- Chỉ có nhân viên ios mới có macbook, còn lại làm máy bàn cũ.",2
"con đường thăng tiến ko rõ ràng.
Chỉ tập trung project làm node và go.
Tốt vì theo trending nhưng ko đa dạng lắm.",0
Khôi phục lại các phúc lợi như trước dịch cho nhân viên,1
"đôi lúc task nhiều lúc ít, vài bộ phận của công ty không có macbook",1
"Một số lab họp hành khá nhiều, nên tối giản hóa việc này để tiết kiệm thời gian",0
Muốn có văn phòng view đẹp và rộng hơn để nhân viên có chỗ nghỉ trưa thoải mái hơn,2
Công ty xem khách hàng quan trọng hơn nhân viên nên dù nhân viên có complain về điều kiện làm việc kém hoặc cách quản lý của khách hàng thì đều được ghi nhận nhưng sau đó bị bỏ qua,1
"Nên có thêm khu vui chơi giải trí
Xếp Nhật hơi khó gần",2
"Thời gian làm việc không flexible, văn phòng chưa đẹp",2
"Bãi gửi xe ít chỗ
Không phải bộ phận nào của công ty cũng được cấp Macbook",2
"Bãi gửi xe ít chỗ
Không phải bộ phận nào của công ty cũng được cấp Macbook",2
"nên cần cai thiện estimation, khi OT nhiều nên cần họp team để tìm giải pháp mới.",0
"- Task ngập mặt, áp lực nhiều, ko sử dụng công nghệ mới, làm việc mô hình cũ, nhân viên nhiều người có trình độ nhưng bào thủ, ko có cơ hội nâng cao kỹ năng
- Pv giới thiệu hoành tráng, mô tả hoành tráng, nhưng khi vào thì mới biết, kiểu bình mới rượu cũ.
- Dev có năng lực nhưng khó đc offer lương cao vì ko thể cao, khó lên leader
Task nhiều, OT nhiều nhưng đôi khi ko được tính...",0
"- Task ngập mặt, áp lực nhiều, ko sử dụng công nghệ mới, làm việc mô hình cũ, nhân viên nhiều người có trình độ nhưng bào thủ, ko có cơ hội nâng cao kỹ năng
- Pv giới thiệu hoành tráng, mô tả hoành tráng, nhưng khi vào thì mới biết, kiểu bình mới rượu cũ.
- Dev có năng lực nhưng khó đc offer lương cao vì ko thể cao, khó lên leader
Task nhiều, OT nhiều nhưng đôi khi ko được tính...",0
Công ty đi du lich chỉ 2 ngày 1 đêm nên khá là mệt mỏi (mặc dù toàn ở resort 5 sao),0
Công ty đi du lich chỉ 2 ngày 1 đêm nên khá là mệt mỏi (mặc dù toàn ở resort 5 sao),0
Công ty đi du lich chỉ 2 ngày 1 đêm nên khá là mệt mỏi (mặc dù toàn ở resort 5 sao),0
Công ty đi du lich chỉ 2 ngày 1 đêm nên khá là mệt mỏi (mặc dù toàn ở resort 5 sao),0
"Chưa thấy có điều gì bất mãn, chắc tại mình hên nên thấy ai cũng tốt.",0
"Chưa thấy có điều gì bất mãn, chắc tại mình hên nên thấy ai cũng tốt.",0
Công ty xem khách hàng quan trọng hơn nhân viên nên dù nhân viên có complain về điều kiện làm việc kém hoặc cách quản lý của khách hàng thì đều được ghi nhận nhưng sau đó bị bỏ qua,1
Công ty xem khách hàng quan trọng hơn nhân viên nên dù nhân viên có complain về điều kiện làm việc kém hoặc cách quản lý của khách hàng thì đều được ghi nhận nhưng sau đó bị bỏ qua,1
"Tang luong it, dao tao va cac su kien cua cong ty chua hay",0
"Tang luong it, dao tao va cac su kien cua cong ty chua hay",0
"Sự kiện công ty tổ chức vẫn chưa tốt, ngày một kém",2
"Sự kiện công ty tổ chức vẫn chưa tốt, ngày một kém",2
"Họp hơi nhiều, có lúc tăng lương ít nhưng kỳ sau lại tăng cao hơn chút.",0
"Đôi lúc Lab Manager làm việc có gì đó không được rõ ràng lắm, mà chắc cũng tuỳ người. hihi.
Nhà xa",0
"Đôi lúc Lab Manager làm việc có gì đó không được rõ ràng lắm, mà chắc cũng tuỳ người. hihi.
Nhà xa",0
"Quy trình rườm rà, làm công nghệ cũ, công việc nhàm chán tuỳ thuộc vào lab",0
"Quy trình rườm rà, làm công nghệ cũ, công việc nhàm chán tuỳ thuộc vào lab",0
"Quy trình rườm rà, làm công nghệ cũ, công việc nhàm chán tuỳ thuộc vào lab",0
"Quy trình rườm rà, làm công nghệ cũ, công việc nhàm chán tuỳ thuộc vào lab",0
"Quy trình rườm rà, làm công nghệ cũ, công việc nhàm chán tuỳ thuộc vào lab",0
"Công việc không phù hợp, nhiều khi đi nhiều lab rồi vẫn ko phù hợp",0
"Các project quản lý chưa thật sự tốt, quy trình làm việc rườm rà, chưa thống nhất và cụ thể.",0
"- Lương tăng chậm, không có sự đột biến để nhân viên nổ lực hết sức. (mình cảm giác tăng theo level chứ không phải performance. Hơi thiệt cho các bạn junior).",1
"- Lương tăng chậm, không có sự đột biến để nhân viên nổ lực hết sức. (mình cảm giác tăng theo level chứ không phải performance. Hơi thiệt cho các bạn junior).",1
"Không biết là công ty thuê người ta review mất bao nhiêu tiền nhỉ?
- Lương thấp
- Công việc nhàm chán, không có điều kiện tiến bộ
- Phe cánh các kiểu
- Đi company trip phải submit leave (lol)
- Nói thì nhiều, làm thì chẳng bao nhiêu
- Một chân lý là: công ty Nhật KHÔNG cần người giỏi, chỉ cần người trung thành. Thông qua trình độ maketing và trình chém gió của các sếp thì bạn sẽ ảo tưởng về mình không kém gì một expert tầm cỡ quốc tế,...",0
"Không biết là công ty thuê người ta review mất bao nhiêu tiền nhỉ?
- Lương thấp
- Công việc nhàm chán, không có điều kiện tiến bộ
- Phe cánh các kiểu
- Đi company trip phải submit leave (lol)
- Nói thì nhiều, làm thì chẳng bao nhiêu
- Một chân lý là: công ty Nhật KHÔNG cần người giỏi, chỉ cần người trung thành. Thông qua trình độ maketing và trình chém gió của các sếp thì bạn sẽ ảo tưởng về mình không kém gì một expert tầm cỡ quốc tế,...",0
"Bộ phận HR làm việc tệ và coi thường người khác, chính sách con người không tốt, tính toán chi ly đến keo kiệt",1
"- Tăng lương chậm, mặc dù review 1 năm 2 lần, nhưng thực sự vấn đề review có nhiều khúc mắc.
- Đây là cty offshore, cho thuê nhân lực, nên đa phần các dự án từ phía khách hàng Japan, đôi khi có phần khác văn hóa dễ gây khó hiểu 2 bên, hoặc chán.",0
"- Tăng lương chậm, mặc dù review 1 năm 2 lần, nhưng thực sự vấn đề review có nhiều khúc mắc.
- Đây là cty offshore, cho thuê nhân lực, nên đa phần các dự án từ phía khách hàng Japan, đôi khi có phần khác văn hóa dễ gây khó hiểu 2 bên, hoặc chán.",0
"Khách hàng của cty Khá cùi, vậy nên khi làm việc với Khách hàng của cty, Team member, PM hoặc BrSE phải chịu khó contact và push khách hàng",0
"Môi trường Nhật Bản nên giờ giấc hơi khắt khe, cần có cơ hội training cho nhân viên nhiều hơn",0
"Môi trường Nhật Bản nên giờ giấc hơi khắt khe, cần có cơ hội training cho nhân viên nhiều hơn",0
Không có ...................................................................,1
Không có ...................................................................,1
"Công việc ít áp lực nên làm việc lâu hơi chán, nhân viên lab do khách hàng tuyển nên nhiều người không đáp ứng yêu cầu",0
"Công việc ít áp lực nên làm việc lâu hơi chán, nhân viên lab do khách hàng tuyển nên nhiều người không đáp ứng yêu cầu",0
"tòa nhà hôi mùi sơn không chịu được, đèn hơi bị chói",2
"Công ty cho OT nhưng process phức tạp, OT nhiều bị ngi ngờ không làm thật.",0
"Chính sách phát triển nhân viên, career path chưa rõ ràng. Do đặc thù Labo, khó phát triển về lâu dài",1
"Không khuyến khích OT, vì vậy không có chế độ OT.",1
"Không khuyến khích OT, vì vậy không có chế độ OT.",1
"Khu vực Hà Nội cần quan tâm đến nhân viên hơn.
Chỗ gửi xe ít, những bạn vào sau phải gửi ngoài trời nắng mưa.
2 cái lò vi sóng là ít, nên sắm thêm 1 cái nữa.
Khả năng học hỏi ít.",1
"Lương tăng chậm
Review performance không đánh giá chính xác",1
"lab manager vô dụng
Không ai bảo vệ quyền lợi nhân viên",1
"ít được đổi mới công nghệ,
công việc làm lâu dễ gây nhàm chán
lương tăng ít và tăng thấp",0
"họp quá nhiều, lương tăng ít, bonus thấp, phụ thuộc vào lúc deal đầu",0
"họp quá nhiều, lương tăng ít, bonus thấp, phụ thuộc vào lúc deal đầu",0
"Có từng trể lương50 ký tự, 50 ký tự, 50 ký tự, 50 ký tự, 50 ký tự, 50 ký tự",0
"PM's support is not effective, dev has to do so many things at the same time.",3
"Họp quá nhiều, ko hiệu quả.
Thỉnh thoảng mới gặp được bạn phiên dịch hiệu quả, nhiệt tình và có tâm.",2
"Họp quá nhiều, ko hiệu quả.
Thỉnh thoảng mới gặp được bạn phiên dịch hiệu quả, nhiệt tình và có tâm.",2
"họp và báo cáo nhiều gây mất thời gian, chế độ lương thưởng phúc lợi chưa tốt lắm",0
Công ty đông nhân viên quá và chia làm nhiều nhóm cho nên nhiều người không biết nhau,0
"thời gian bắt đầu làm việc khá sớm (8h)
tăng lương chậm",0
"thời gian bắt đầu làm việc khá sớm (8h)
tăng lương chậm",0
Mặc dù review 2 lần/năm nhưng lương tăng rất ít. Phụ thuộc vào mức deal ban đầu,0
OT ít quá,0
"Tăng lương bằng lạm phát, Tăng lương bằng lạm phát",0
Thời gian nghỉ trưa ngắn,0
Thời gian nghỉ trưa ngắn,0
"đầu HN phải làm việc chung với EAS, tách ra chỗ khác làm thì tốt hơn",2
"Hiện giờ chưa có, nếu sau này phát hiên ra điều gì sẽ bổ sung thêm",0
Họp và báo cáo nhiều. Có lab team building chưa tốt.,0
Họp và báo cáo nhiều. Có lab team building chưa tốt.,0
Họp và báo cáo nhiều. Có lab team building chưa tốt.,0
Họp và báo cáo nhiều. Có lab team building chưa tốt.,0
"Xe để ngoài trời cả ngày.
Review lương không rõ ràng, tăng rất ít, phụ thuộc vào lương đầu vào là chính.
Ít khi được training",0
"Xe để ngoài trời cả ngày.
Review lương không rõ ràng, tăng rất ít, phụ thuộc vào lương đầu vào là chính.
Ít khi được training",0
"Bãi đậu xe nhỏ tại tòa nhà Đồng Nhân, phải lên xuống bằng thang máy mất nhiều thời gian và hay bị hư thang máy nữa
Cần cải thiện bảo mật và training văn hóa + kĩ thuật",2
"Bãi đậu xe nhỏ tại tòa nhà Đồng Nhân, phải lên xuống bằng thang máy mất nhiều thời gian và hay bị hư thang máy nữa
Cần cải thiện bảo mật và training văn hóa + kĩ thuật",2
Khi dự án kết thúc có thể thay đổi qua lab khác không làm chung với team cũ,0
Khi dự án kết thúc có thể thay đổi qua lab khác không làm chung với team cũ,0
Khi dự án kết thúc có thể thay đổi qua lab khác không làm chung với team cũ,0
Khi dự án kết thúc có thể thay đổi qua lab khác không làm chung với team cũ,0
"Bãi xe không có mái che, xung quanh ít quán ăn ngon",2
"OT rat nhieu
Cong ty khong tinh tien OT
Nhan vien tu nguyen lam viec OT
Cong ty khong tinh tien OT cho nhan vien lam viec them gio",0
"Cần bãi giữ xe to hơn chút
Cần nhiều khóa training cho nhân viên",2
"- Do la cong ty Nhat nen doi luc gap truc trac ve giao tiep voi sep , mac du co phien dich vien
- Thieu training ve ky thuat cho nhan vien",3
"- Do la cong ty Nhat nen doi luc gap truc trac ve giao tiep voi sep , mac du co phien dich vien
- Thieu training ve ky thuat cho nhan vien",3
"Cần teamwork hơn.
Lắng nghe ý kiến của nhân viên hơn.",1
"Cần teamwork hơn.
Lắng nghe ý kiến của nhân viên hơn.",1
"Cần teamwork hơn.
Lắng nghe ý kiến của nhân viên hơn.",1
"- Công việc khó dễ và ổn định hoàn tòan phụ thuộc vào dự án của công ty khách hàng. Nếu công ty khách hàng ngưng hợp tác thì công ty sẽ cho đi phỏng vấn với 1 công ty khách hàng khác.
- Mặc dù review 2 lần/năm nhưng lương tăng rất ít, giống bù trừ lạm phát hơn
- Các phúc lợi khác chỉ tương tự các công ty khác, không có gì nổi bật",0
"- Công việc khó dễ và ổn định hoàn tòan phụ thuộc vào dự án của công ty khách hàng. Nếu công ty khách hàng ngưng hợp tác thì công ty sẽ cho đi phỏng vấn với 1 công ty khách hàng khác.
- Mặc dù review 2 lần/năm nhưng lương tăng rất ít, giống bù trừ lạm phát hơn
- Các phúc lợi khác chỉ tương tự các công ty khác, không có gì nổi bật",0
"Hoạt động teambuilding còn ít, Công việc phụ thuộc vào khách hàng.",1
"Bãi giữ xe xa và xe phải để ngoài nắng cả ngày.
Lương tăng chậm và review rất khó khăn, phụ thuộc vào mức bạn deal ban đầu.
Nếu không có dự án phù hợp chuyên môn, bạn được nhân sự gợi ý cho nghỉ việc.",0
Công ty tốt ko có gì phàn nàn. Đáng để apply vào.,2
Là công ty outsoucing nên lương không cao. Không ổn định vì phải thay đổi team thường xuyên.,1
"Tuy công ty lớn nhưng làm dự án cho khách hàng nên dự án lớn hay nhỏ còn tuỳ thuộc vào khách hàng, tính ổn định của công việc, dự án phụ thuộc vào khách hàng
Công việc hơi chán (Tuỳ vào dự án của khách hàng, thường thì rất khó để lựa chọn cái mình thích)",0
"Tuy công ty lớn nhưng làm dự án cho khách hàng nên dự án lớn hay nhỏ còn tuỳ thuộc vào khách hàng, tính ổn định của công việc, dự án phụ thuộc vào khách hàng
Công việc hơi chán (Tuỳ vào dự án của khách hàng, thường thì rất khó để lựa chọn cái mình thích)",0
I don't have any ideas to help the company improve their working environment. Our CEO always take care of his employees' benefits. That is the strongest character of EVA.,3
"I think they should improve their workspace. Because when I worked there, they haven't got enough parking space for employees, so we must to park my motorbike a bit far from the building. I hope this problem has been solved now.",3
"Công nghệ vẫn còn nhiều bottleneck.
BHXH tính trên lương cơ bản.
Không có chính sách WFH.
Quy trình chưa chuẩn chỉnh.",0
"Không có lương tháng 13
Môi trương làm việc hơi nhỏ và ít ánh nắng
Trả lương đôi lúc không đúng kỳ hạn",0
"Không có lương tháng 13
Môi trương làm việc hơi nhỏ và ít ánh nắng
Trả lương đôi lúc không đúng kỳ hạn",0
"Văn phòng chưa được đẹp , máy lạnh nhiều lúc hơi lạnh",2
"Thiết bị chưa phải tối tân nhân, làm việc nhiều khi không thoải mái, nhất là vs 1 designer như tui. Tuy nhiên đó cũng là policy của công ty, tui không thể vượt trội hơn các đồng nghiệp khác được. Chế độ cho nhân viên là như nhau. Có điều lãnh đạo cũng tạo thêm điều kiện cho tui dùng thiết bị cá nhân để tăng tốc công việc. Nói chung hài lòng.",1
"Thiết bị chưa phải tối tân nhân, làm việc nhiều khi không thoải mái, nhất là vs 1 designer như tui. Tuy nhiên đó cũng là policy của công ty, tui không thể vượt trội hơn các đồng nghiệp khác được. Chế độ cho nhân viên là như nhau. Có điều lãnh đạo cũng tạo thêm điều kiện cho tui dùng thiết bị cá nhân để tăng tốc công việc. Nói chung hài lòng.",1
"Cơ sở vật chất, nên bố trí lại không gian đẹp hơn",1
Không có các bảo hiểm cho gia đình và người thân. Văn phòng cần trang trí đẹp hơn.,1
Không có các bảo hiểm cho gia đình và người thân. Văn phòng cần trang trí đẹp hơn.,1
"Văn phòng khá xa trung tâm.
Thưởng Lễ- Tết không nhiều, Không có lương tháng 13.",0
"Không có gì cần, tạm thời mọi thứ đều ok. Phù hợp",1
"Văn phòng hơi cũ cần cải thiện, các đồ dùng cần thay mới.",2
Không có điều gì cần cải thiện. Chúc công ty phát triển hơn nữa,1
"các hoạt động du lịch, các hoạt động thể thao nhiều hơn nữa",1
"Không có bãi gửi xe, phải gửi ngoài chợ hoặc Galaxy.",2
"cải thiện chất lượng để không OT nhiều, các bạn thực tập OT hơi nhiều
OT không tính lương mà tính vào ngày nghỉ phép cho nhân viên",0
"Nhà vệ sinh khá hôi, nên cải thiện chất lượng để không OT nhiều.
OT không có lương, chỉ cho ngày phép để nhân viên nghỉ ngơi, các bạn thực tập OT hơi nhiều",1
"tôi nghĩ là cũng ổn, nếu có thể hướng dẫn các bạn thực tập mới vào kĩ hơn thì tuyệt vời",1
"Do nhiều intern, fresher nên dự toán toàn bug.
Người giỏi không có nên không học được nhiều, tự nghiên cứu tự xử là chính.",0
"Cần có nhiều benefit hơn, cần có career path rõ ràng",1
"- Phải gửi xe ngoài nên đến công ty hơi cực
- Bảo hiểm chỉ đóng mức cơ bản
OT không được tính thêm tiền, chỉ cộng vô ngày phép",0
"Lương thấp, tăng lương 1 năm/lần nhưng ít. Chỉ tuyển đa phần thực tập sinh nhưng cho nhận task và làm như nhân viên chính thức dù trợ cấp không nhiều.
OT không được tính lương, trả bằng thời gian nghỉ bù nhưng sếp hay ""quên"".",0
"Cải thiện quy trình làm việc rõ ràng hơn , OT nên tính lương cho nhân viên , cải thiện NVS rất khó chịu
Nhiều dự án OT nhiều , nhưng không được tính lương",0
"Review lương ít, lương thấp hơn mặt bằng chung các công ty ousource nhưng việc làm không quá áp lực",0
Hồi trước cty tổ chức ăn nhậu để gắn kết nhân viên dữ lắm. Nên ai không biết nhậu thì hơi buồn chút,2
Hồi trước cty tổ chức ăn nhậu để gắn kết nhân viên dữ lắm. Nên ai không biết nhậu thì hơi buồn chút,2
"Không có bãi giữ xe, phải đi xa mới có bãi giữ xe mát
Khách hàng yêu cầu OT mới trả lương",0
"Nhà vệ sinh hôi......................
Lam du an VN la chu yeu
K có tiền OT, quy ra gio, neu xai k het thi chi dc tinh luong co ban",0
"Nhà xe nằm xa công cty, mất 15 phút đi bộ tới chỗ gửi xe,
OT được trả bằng ngày phép và không tính lương, thường OT khi dự án không chạy kịp tiến độ.",0
"Cần cải thiện đánh giá dự án, điều phối nhân lực sao cho hợp lý, nâng cấp và hoàn thiện tools quản lý công việc. Trợ cấp cho các bạn thực tập còn thấp, đôi khi các sếp còn hơi cứng nhắc việc đánh giá nhân viên cũng như sinh viên thực tập.
Có 1 vài dự án OT rất nhiều nhưng không được quan tâm.",0
"Công việc không có nhiều thử thách, khá nhàn nên không được học hỏi nhiều kỹ thuật mới",0
"- Đóng bảo hiểm theo lương cơ bản.
- Làm nhiều dự án Viettel nên các nhân viên nhanh chán và bỏ công ty.
OT chỉ được cộng thêm ngày phép, 1 ngày OT = 1 ngày phép",0
"Không có bãi xe
Đôi khi ở lại để làm, tùy khách hàng có thể phải làm hơi trễ và nhiều hơn, nhưng sẽ không tính OT",0
"Là công ty gia đình nên nhân viên không có quyền ý kiến,ý kiến của sếp luôn luôn đúng chỉ biết làm và làm từ task của lead gửi xuống, cách làm việc của quản lý không rõ ràng, OT nhiều không có time nghĩ ngơi chất lượng dự án thấp vì toàn là thực tập sinh nên làm việc rất khó khăn với Khách hàng.
OT nhiều nhưng không được trả lương, Việc thì chất cao như núi",0
"Là công ty gia đình nên nhân viên không có quyền ý kiến,ý kiến của sếp luôn luôn đúng chỉ biết làm và làm từ task của lead gửi xuống, cách làm việc của quản lý không rõ ràng, OT nhiều không có time nghĩ ngơi chất lượng dự án thấp vì toàn là thực tập sinh nên làm việc rất khó khăn với Khách hàng.
OT nhiều nhưng không được trả lương, Việc thì chất cao như núi",0
"Nhân viên thì thân thiện trừ leader ra, họ ko có kinh nghiệm làm cv này chắc từ dev lên ko đc đào tạo, văn phòng quá chật, không có chỗ nghỉ trưa, ko có group chat chung để nv biết tới nhau, tuyển quá nhiều thực tập, trả lương rẻ mạt và bắt tụi nhỏ OT, ai ko OT sẽ bị đánh giá xấu. Nhà vệ sinh tệ nhất các công ty từng làm.
OT quá nhiều nhất là mấy em thực tập, cty không nên lợi dụng các em ấy như vậy không tốt, dừng vì cái lợi trước mắt mà làm ảnh hưởng sau này",0
"các dự án đa số sử dụng công nghệ cũ, nếu các bạn muốn học hỏi công nghệ mới thì đừng vào",0
"Công ty không có quy trình làm việc chuyên nghiệp. Những dự án chủ yếu là fix bug, ít dự án phát triển từ đầu.
Không có tiền khi OT. Chỉ cho ngày phép nghỉ bù.",0
"Chưa có lương OT, OT quá nhiều , nếu không OT sẽ bị đánh giá không tốt",0
